"PatternId_decimal",description,"killchain_stage",name,objective,"pattern_updated",scenario,scenarioFriendly,severity,"show_in_ui",tactic,technique
53,"Indicates a thread was injected into LSASS from signed executable with untrusted root authority","Lateral motion",LsassInjectedThreadUntrusted,"Gain Access","1698430764.0","credential_theft","Credential theft",50,False,"Credential Access","OS Credential Dumping"
54,"Signed DLL with untrusted root authority loaded by LSASS process","Lateral motion",LsassLoadModuleUntrusted,"Gain Access","1698429517.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
55,"Security for credential registry keys tampered with from signed executable with untrusted root authority","Lateral motion",RegCredentialSecurityModifiedUntrusted,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
56,"User hashes from SAM hive accessed from signed executable with untrusted root authority","Lateral motion",HashDumpSAMUntrusted,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
57,"The SECURITY registry hive was read using raw disk access from a signed executable with untrusted root authority.","Lateral motion",RawReadOnSecurityHiveUntrusted,"Gain Access","1698429517.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
58,"The SAM registry hive was read using raw disk access from a signed executable with untrusted root authority.","Lateral motion",RawReadOnSAMHiveUntrusted,"Gain Access","1698429517.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
59,"A process loaded a restricted credential module from a signed executable with untrusted root authority","Lateral motion",CredentialModuleLoadUntrusted,"Gain Access","1698430764.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
60,"JavaScript was executed from the command line via rundll32.exe (rundll32.exe was launched from the command line and included the ""javascript:"" argument).",Unknown,JavaScriptViaRundll32,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,True,"Defense Evasion",Rundll32
61,"Admin/recon tool in subtree beneath a browser process",Exploitation,AdminOrReconUnderBrowser,Explore,"1698429517.0","drive_by_download","Web exploit",50,False,Discovery,"System Information Discovery"
62,"Detected file access and deletion activity that is consistent with known wipers such as Wipall.",ActionsOnObjectives,WipallWiper,"Follow Through","1698429517.0","data_deletion","Deletion of data",60,False,Impact,"Data Destruction"
63,DEPRECATED,ResponseActions,,,"1698430764.0","process_terminated","A process was terminated in response to malicious behavior",80,False,,
64,DEPRECATED,ResponseActions,,,"1698429517.0","activity_prevented","A malicious activity was prevented",1,False,,
65,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",1,False,,
66,"VNC Server's DLL was loaded into a process",Unknown,VncServerLoaded,Explore,"1698429517.0","known_malware","Known malware",50,False,"Lateral Movement","Remote Services"
67,"Process accessed credential-containing NTDS.dit in a Volume Shadow Snapshot","Lateral motion",NtdsFileAccessedViaVss,"Gain Access","1698430764.0","credential_theft","Credential theft",100,True,"Credential Access","OS Credential Dumping"
68,"Process used raw read to access the NTDS.dit file, which contains credentials.","Lateral motion",NtdsFileAccessedViaRaw,"Gain Access","1698429517.0","credential_theft","Credential theft",80,True,"Credential Access","OS Credential Dumping"
69,DEPRECATED,Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",1,False,,
70,"A command prompt was created in association with browser flash plugin activity",Exploitation,FlashThreadCreateCLI,"Follow Through","1698430764.0","drive_by_download","Web exploit",70,True,Execution,"Exploitation for Client Execution"
71,DEPRECATED,Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",1,False,,
72,DEPRECATED,Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",1,False,,
73,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",1,False,,
74,"An executable had a suspicious or misleading filename","Lateral motion",deprecated,,"1698430764.0","credential_theft","Credential theft",1,False,,
75,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",10,False,,
76,"Falcon Host's installation directory was probed",Unknown,FalconSensorDirectoryProbe,Explore,"1698429517.0","suspicious_activity","Suspicious activity",10,False,Discovery,"Security Software Discovery"
77,"Falcon Host's network connection may have been probed",Unknown,FalconSensorNetworkProbe,Explore,"1698430764.0","suspicious_activity","Suspicious activity",10,False,Discovery,"Security Software Discovery"
78,"Falcon Host's service was probed",Unknown,FalconSensorServiceProbe,Explore,"1698429517.0","suspicious_activity","Suspicious activity",10,False,Discovery,"Security Software Discovery"
79,"A userspace process spawned a new process and used it to execute shellcode. Adversaries often inject malicious code into a benign process to evade detection. Review both the injector and injectee process trees.",Unknown,ProcessMigrationViaShellcode,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",70,False,"Defense Evasion","Process Injection"
80,"Detected and blocked a heap spray attempt, which was likely part of an attempted exploit.",Exploitation,HeapSprayAttempted,"Falcon Detection Method","1698430764.0","blocked_exploit","Blocked Exploit",70,True,Exploit,"Exploit Mitigation"
81,"An unexpected process ran dllhost.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedDllhostProcess,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
82,"An unexpected process ran svchost.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedSvchostProcess,"Follow Through","1698429517.0","suspicious_activity","Suspicious activity",50,True,Execution,"Command and Scripting Interpreter"
83,"An unexpected process ran taskhost.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedTaskhostProcess,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
84,"An unexpected process ran wmiprvse.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedWmiprvseProcess,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
85,"An unexpected process ran csrss.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedCsrssProcess,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
86,"An unexpected process ran lsass.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedLsassProcess,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
87,"An unexpected process ran lsm.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedLsmProcess,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
88,"An unexpected process ran taskhostex.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedTaskhostexProcess,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
89,"An unexpected process ran userinit.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedUserinitProcess,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
90,"An unexpected process ran wininit.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedWininitProcess,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
91,"An unexpected process ran winlogon.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedWinlogonProcess,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
92,"An unexpected process ran smss.exe. Adversaries can masquerade malware as a system process to evade detection. Review the executable.",Unknown,UnexpectedSmssProcess,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Masquerading
93,"IIS wrote and ran a new executable.",Exploitation,IISWroteAndExecuted,"Gain Access","1698429517.0","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
94,"IIS wrote a new executable and a sub-process ran it.",Exploitation,IISWroteAndChildExecuted,"Gain Access","1698430764.0","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
95,"SQL Server wrote and ran a new executable.",Exploitation,SqlWroteAndExecuted,"Gain Access","1698430764.0","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
96,"SQL Server wrote a new executable and a sub-process ran it.",Exploitation,SqlWroteAndChildExecuted,"Gain Access","1698429517.0","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
97,"An IIS sub-process wrote a new executable and a sub-process ran it.",Exploitation,ISSChildWroteAndExecuted,"Gain Access","1698429517.0","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
98,"SQL Server sub-process wrote a new executable and a sub-process ran it.",Exploitation,SqlChildWroteAndExecuted,"Gain Access","1698430764.0","server_compromise","Server exploited",80,True,"Initial Access","Exploit Public-Facing Application"
99,"A process using Force Data Execution Prevention (Force DEP) tried to execute non-executable memory. The process was blocked.",Exploitation,ForceDEPExecution,"Falcon Detection Method","1698430764.0","blocked_exploit","Blocked Exploit",70,True,Exploit,"Exploit Mitigation"
100,DEPRECATED,Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",1,False,,
101,"Prevented the creation of a command line process associated with Windows logon bypass.",ResponseActions,WindowsLogonBypassPrevented,"Keep Access","1698429517.0","activity_prevented","A malicious activity was prevented",80,True,Persistence,"Accessibility Features"
102,"A browser executed a .tmp file.",Unknown,BrowserExecutedTmpFile,"Follow Through","1698430764.0","suspicious_activity","Suspicious activity",70,True,Execution,"Exploitation for Client Execution"
103,"A productivity application or its child modified a registry key for persistence, which does not match its expected behavior.",Unknown,ProductivityAppWroteAsep,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",60,False,Persistence,"Registry Run Keys / Startup Folder"
104,"Falcon Host's registry data was modified via uninstallation.",Unknown,FalconSensorRegistryKeyUninstall,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",10,False,"Defense Evasion","Disable or Modify Tools"
105,"A process tampered with Falcon Host's registry data.",Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",50,False,,
106,"Falcon Host's directory content was modified via uninstallation.",Unknown,FalconSensorHostDirectoryUninstall,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",10,False,"Defense Evasion","Disable or Modify Tools"
107,"A process tampered with Falcon Host's directory content.",Unknown,FalconSensorHostDirectoryTampering,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion","Disable or Modify Tools"
108,"A process tried to disable system recovery.",Unknown,ProcessDisabledSystemRecovery,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",70,False,"Defense Evasion","Disable or Modify Tools"
109,"A process chain bypassed Windows logon security.",Installation,WindowsLogonBypassSuspicious,"Keep Access","1698430764.0","privilege_escalation","Privilege escalation",80,True,Persistence,"Accessibility Features"
110,"Blocked a command line process associated with Windows logon bypass.",ResponseActions,WindowsLogonBypassSuspiciousPrevent,"Keep Access","1698429517.0","activity_prevented","A malicious activity was prevented",80,True,Persistence,"Accessibility Features"
111,"Unsigned child of a productivity app wrote a registry key used for persistence",Unknown,ProductivityAppChildWroteAsep,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,Persistence,"Registry Run Keys / Startup Folder"
112,"A child process of a browser renderer wrote a registry key used for persistence",Unknown,BrowserChildWroteAsep,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",50,False,Persistence,"Registry Run Keys / Startup Folder"
113,"A remote process obtained a handle to lsass. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",RemoteOpenLsass,"Gain Access","1698430764.0","credential_theft","Credential theft",50,False,"Credential Access","OS Credential Dumping"
114,"LSASS process accessed from Powershell","Lateral motion",RemoteOpenLsassFromPowershell,"Gain Access","1698429517.0","credential_theft","Credential theft",70,False,"Credential Access","OS Credential Dumping"
115,"A process containing a reflectively loaded DLL allocated executable memory. Adversaries often use this to evade detection. Review the process tree.",Unknown,ReflectiveDllAllocatedExecutableMemory,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",40,False,"Defense Evasion","Process Injection"
116,"A process modified a registry key for persistence, and the target points to an executable with a SHA256 hash that is blocked according to your organization's policy.",Unknown,AsepTargetManualBlocklist,"Falcon Detection Method","1698429517.0","blocked_hash","Blocked Hash",70,False,"Custom Intelligence","Indicator of Compromise"
117,DEPRECATED,Unknown,,,"1698429517.0","blocked_hash","Blocked Hash",70,False,,
118,"An executable with two file name extensions was written. Adversaries can masquerade malware with a seemingly safe file extension to evade detection. Review the executable.",Exploitation,DoubleExtensionWritten,"Keep Access","1698430764.0","social_engineering","Social engineering",40,False,"Defense Evasion",Masquerading
119,"An executable with two file name extensions was executed. Adversaries can masquerade malware with a seemingly safe file extension to evade detection. Review the executable.",Exploitation,DoubleExtensionExecuted,"Keep Access","1698430764.0","social_engineering","Social engineering",50,False,"Defense Evasion",Masquerading
120,"A CLI containing a reflectively loaded DLL opened a handle to lsass. Adversaries often use this to steal credentials. If credentials were dumped, change your passwords and review the process tree.","Lateral motion",PowershellReflectiveOpenLsass,"Gain Access","1698429517.0","credential_theft","Credential theft",80,True,"Credential Access","OS Credential Dumping"
121,"A process attempted to copy SAM and/or SYSTEM from a mounted snapshot volume - an indicator of password hash dumping.","Lateral motion",PwDumpViaVss,"Gain Access","1698429517.0","credential_theft","Credential theft",30,False,"Credential Access","OS Credential Dumping"
122,"A screensaver process was executed from the Temp directory",Unknown,TempScrExecution,"Keep Access","1698430764.0","known_malware","Known malware",80,False,Persistence,Screensaver
123,"A user attempted to launch a binary owned by the root user with the dangerous DYLD_PRINT_TO_FILE variable set. The variable was removed.",Unknown,RootBinaryLaunchViaPrintVariable,"Gain Access","1698430764.0","known_malware","Known malware",70,False,"Privilege Escalation","Setuid and Setgid"
124,"A non-privileged user attempted to add the append flag to a root-owned (SUID) binary as part of a local privilege escalation attack. The attempt was blocked.",Unknown,RootBinaryLaunchViaAppendFlag,"Gain Access","1698429517.0","known_malware","Known malware",70,False,"Privilege Escalation","Setuid and Setgid"
125,"The RunHTMLApplication function from mshtml.dll was executed via rundll32.exe",Unknown,HTMLApplicationViaRundll32,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,False,"Defense Evasion",Rundll32
126,"A screensaver spawned an executable from a temporary directory. Adversaries can use this to run malware when a user is inactive. Review the executable and process tree.",Unknown,ExeLaunchFromTempScrFile,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",70,False,Persistence,Screensaver
127,"An executable with an incorrect file extension was written. Adversaries can masquerade malware with a seemingly safe file extension to evade detection. Review the executable.",Exploitation,"Incorrect Executable Extension","Keep Access","1698429517.0","social_engineering","Social engineering",10,False,"Defense Evasion",Masquerading
128,"A screensaver spawned an .exe from a temporary directory. Adversaries can use this to run malware when a user is inactive. Review the executable and process tree.",Unknown,ExeLaunchFromTempScrFile2,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",70,True,Persistence,Screensaver
129,"A RAR archive was written by a process with suspicious command line arguments.",Unknown,RarExfilFileWritten,"Follow Through","1698429517.0","suspicious_activity","Suspicious activity",80,True,Collection,"Archive Collected Data"
130,"CryptoWall malware was executed.",Unknown,CryptoWallExecuted,"Follow Through","1698430764.0","known_malware","Known malware",90,True,Impact,"Data Encrypted for Impact"
131,"Blocked a process associated with Cryptowall.",ResponseActions,CryptoWallPrevented,"Follow Through","1698430764.0","activity_prevented","A malicious activity was prevented",70,True,Impact,"Data Encrypted for Impact"
132,"Terminated a process associated with Cryptowall.",ResponseActions,CryptoWallTerminated,"Follow Through","1698429517.0","process_terminated","A process was terminated in response to malicious behavior",70,True,Impact,"Data Encrypted for Impact"
133,DEPRECATED,Exploitation,,,"1698430764.0","drive_by_download","Web exploit",1,False,,
134,"A powershell process was started with suspicious command-line contents.",Unknown,PowershellCommandlineSuspicious,"Follow Through","1698429517.0","suspicious_activity","Suspicious activity",50,True,Execution,PowerShell
135,"A regsvr32 process was started with suspicious command line contents.",Unknown,Regsvr32CommandlineSuspicious,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,True,"Defense Evasion",Regsvr32
136,DEPRECATED,Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",1,False,,
137,"Locky malware was executed.",Unknown,LockyExecuted,"Follow Through","1698430764.0","known_malware","Known malware",90,True,Impact,"Data Encrypted for Impact"
138,"Blocked a process associated with Locky.",ResponseActions,LockyPrevented,"Follow Through","1698430764.0","activity_prevented","A malicious activity was prevented",70,True,Impact,"Data Encrypted for Impact"
139,"Terminated a process associated with Locky.",ResponseActions,LockyTerminated,"Follow Through","1698429517.0","process_terminated","A process was terminated in response to malicious behavior",70,True,Impact,"Data Encrypted for Impact"
140,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",1,False,,
141,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",1,False,,
142,"A user's password hash was dumped","Lateral motion",HashCollector,"Gain Access","1698429517.0","credential_theft","Credential theft",70,True,"Credential Access","OS Credential Dumping"
143,"A powershell process executed compressed, encoded command line content.",Unknown,PowershellCompressedEncodedPayload,"Follow Through","1698430764.0","suspicious_activity","Suspicious activity",70,True,Execution,PowerShell
144,"A powershell process was executed that used the FromBase64String function.",Unknown,PowershellFromBase64String,"Follow Through","1698429517.0","suspicious_activity","Suspicious activity",50,True,Execution,PowerShell
145,"An executable was run with a contradicting file extension",Unknown,FalseExecutableExtension,"Keep Access","1698429517.0","suspicious_activity","Suspicious activity",50,True,"Defense Evasion",Masquerading
146,"A process attempted to recover a plaintext password.","Lateral motion",KcPasswordDecoded,"Gain Access","1698429517.0","credential_theft","Credential theft",80,True,"Credential Access","OS Credential Dumping"
147,"A command was run that is associated with Chopper web shell activity.",Unknown,ChopperWebshellCommand,"Keep Access","1698430764.0","suspicious_activity","Suspicious activity",90,True,Persistence,"Web Shell"
148,DEPRECATED,Unknown,,,"1698430764.0","suspicious_activity","Suspicious activity",1,False,,
149,DEPRECATED,Unknown,,,"1698429517.0","suspicious_activity","Suspicious activity",1,False,,
150,"Command prompt created in association with browser flash plugin activity",Exploitation,FlashThreadCreateCli2,"Follow Through","1698430764.0","exploit_pivot","Application compromised",70,True,Execution,"Exploitation for Client Execution"
151,"Executable file created in association with browser flash plugin activity",Exploitation,FlashThreadCreatePeFile,"Keep Access","1698430764.0","exploit_pivot","Application compromised",70,False,"Defense Evasion","Exploitation for Defense Evasion"
